id,naziv,razred,fond
1,Математика,1,4
2,Српски језик,1,4
3,Рачунарство и информатика,1,2
4,Математика,2,5
5,Психологија,2,2
6,Физика,1,2
7,Физика,2,3
8,Математика,3,5
9,Математика,4,5
10,Социологија,4,2
11,Филозофија,4,2
12,Енглески језик,1,2
13,Латински језик,1,2
14,Историја,1,2
15,Географија,1,2
16,Биологија,1,2
17,Хемија,1,2
18,Музичка култура,1,1
19,Ликовна култура,1,1
20,Физичко васпитање,1,2
21,Други страни језик,1,2
22,Изборни програми,1,2
23,Грађанско васпитање,1,1
24,Српски језик,2,3
25,Енглески језик,2,2
26,Историја,2,2
27,Географија,2,2
28,Биологија,2,2
29,Хемија,2,3
30,Рачунарство и информатика,2,2
31,Уметност,2,1
32,Физичко васпитање,2,2
33,Грађанско васпитање,2,1
34,Други страни језик,2,1
35,Изборни програми,2,2
36,Српски језик,3,3
37,Енглески језик,3,2
38,Историја,3,2
39,Географија,3,2
40,Биологија,3,2
41,Физика,3,3
42,Хемија,3,3
43,Рачунарство и информатика,3,1
44,Физичко васпитање,3,2
45,Грађанско васпитање,3,1
46,Други страни језик,3,1
47,Изборни програми,3,4
48,Српски језик,4,4
49,Енглески језик,4,2
50,Други страни језик,4,1
51,Биологија,4,2
52,Физика,4,4
53,Хемија,4,2
54,Рачунарство и информатика,4,2
55,Физичко васпитање,4,2
56,Грађанско васпитање,4,1
57,Изборни програми,4,4
